gene,max_phase,n_trials,diseases,categories,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro,approved,failed
ADRB2,4.0,32,"Arthritis, Rheumatoid; Asthma; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,14.51,48.38,False,0.6,0.2972972972972973,1,0
AHR,4.0,1,"Dermatitis, Atopic; Psoriasis",skin,0.0,67.78,False,0.0,0.3513513513513513,1,0
ALOX5,4.0,7,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease; Pulmonary Disease, Chronic Obstructive; Spondylitis, Ankylosing",GI; autoimmune; respiratory,3.77,14.06,False,0.1,0.1081081081081081,1,0
BRAF,2.0,2,"Pulmonary Disease, Chronic Obstructive",respiratory,15.34,42.78,False,0.4,0.3243243243243243,0,1
BTK,3.0,15,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Lupus Erythematosus, Systemic; Multiple Sclerosis",GI; autoimmune; respiratory; skin,209.73,65.13,True,0.4,0.2432432432432432,0,1
CA1,2.0,1,Multiple Sclerosis,autoimmune,0.0,2.45,False,0.0,0.054054054054054,0,1
CA12,2.0,1,Multiple Sclerosis,autoimmune,20.55,19.07,True,0.3,0.3243243243243243,0,1
CA2,2.0,2,Multiple Sclerosis,autoimmune,12.79,21.88,False,0.2,0.2972972972972973,0,1
CA4,2.0,2,Multiple Sclerosis,autoimmune,19.63,10.22,True,0.2,0.2432432432432432,0,1
CACNA1B,2.0,1,Multiple Sclerosis,autoimmune,0.0,0.0,False,0.0,0.081081081081081,0,1
CALCRL,2.0,2,Asthma; Psoriasis,respiratory; skin,6.77,0.0,True,0.2,0.081081081081081,0,1
CASP1,2.0,1,Psoriasis,skin,0.0,0.0,False,0.0,0.054054054054054,0,1
CCL11,2.0,1,"Colitis, Ulcerative",GI,0.0,0.0,False,0.0,0.0,0,1
CCR1,2.0,3,"Arthritis, Rheumatoid; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,68.06,18.84,True,0.2,0.054054054054054,0,1
CCR2,2.0,3,"Arthritis, Rheumatoid; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,7.74,6.95,True,0.1,0.2162162162162162,0,1
CCR5,2.0,3,"Arthritis, Rheumatoid; Colitis, Ulcerative",GI; autoimmune,19.46,0.0,True,0.1,0.0,0,1
CCR9,2.0,1,"Colitis, Ulcerative; Crohn Disease",GI,0.0,12.27,False,0.0,0.1081081081081081,0,1
CD14,2.0,1,"Colitis, Ulcerative; Psoriasis",GI; skin,207.55,155.41,True,0.5,0.3243243243243243,0,1
CD19,2.0,3,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Multiple Sclerosis",autoimmune,83.95,15.34,True,0.1,0.2702702702702703,0,1
CD2,3.0,2,Psoriasis,skin,0.0,12.29,False,0.0,0.054054054054054,0,1
CD28,2.0,2,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Psoriasis",autoimmune; skin,0.0,54.88,False,0.0,0.1081081081081081,0,1
CD3E,2.0,5,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Psoriasis",GI; autoimmune; skin,0.0,14.1,False,0.0,0.027027027027027,0,1
CD4,2.0,2,"Arthritis, Rheumatoid; Psoriasis",autoimmune; skin,0.0,0.0,False,0.0,0.027027027027027,0,1
CD40,2.0,2,"Arthritis, Rheumatoid; Psoriasis",autoimmune; skin,4.92,18.96,False,0.3,0.1351351351351351,0,1
CD40LG,3.0,3,"Arthritis, Rheumatoid; Colitis, Ulcerative; Lupus Erythematosus, Systemic",GI; autoimmune,0.0,0.0,False,0.0,0.0,0,1
CD52,4.0,1,"Arthritis, Rheumatoid; Crohn Disease; Multiple Sclerosis",GI; autoimmune,9.65,0.0,True,0.2,0.1891891891891892,1,0
CD80,4.0,2,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Dermatomyositis; Lupus Erythematosus, Systemic; Multiple Sclerosis; Nephrotic Syndrome; Psoriasis; Spondylitis, Ankylosing; Uveitis",GI; autoimmune; eye; renal; skin,11.29,0.0,True,0.0,0.2972972972972973,1,0
CD86,4.0,2,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Dermatomyositis; Lupus Erythematosus, Systemic; Multiple Sclerosis; Nephrotic Syndrome; Psoriasis; Spondylitis, Ankylosing; Uveitis",GI; autoimmune; eye; renal; skin,26.86,18.65,True,0.1,0.027027027027027,1,0
CFTR,2.0,2,"Pulmonary Disease, Chronic Obstructive",respiratory,0.0,0.0,False,0.1,0.1621621621621621,0,1
CHRM1,4.0,4,"Asthma; Pulmonary Disease, Chronic Obstructive",respiratory,0.0,43.55,False,0.0,0.2432432432432432,1,0
CHRM2,4.0,5,"Asthma; Pulmonary Disease, Chronic Obstructive",respiratory,0.0,3.5,False,0.0,0.081081081081081,1,0
CHRM3,4.0,16,"Asthma; Dermatitis, Atopic; Pulmonary Disease, Chronic Obstructive",respiratory; skin,11.74,0.0,True,0.2,0.054054054054054,1,0
CHRNA7,2.0,2,"Asthma; Pulmonary Disease, Chronic Obstructive",respiratory,0.0,0.0,False,0.0,0.0,0,1
CNR1,2.0,2,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Multiple Sclerosis",GI; autoimmune,22.58,49.88,False,0.1,0.081081081081081,0,1
CNR2,2.0,2,"Crohn Disease; Dermatitis, Atopic",GI; skin,39.16,29.54,True,0.2,0.2162162162162162,0,1
CSF1,1.0,1,"Arthritis, Rheumatoid",autoimmune,6.09,118.48,False,0.2,0.1891891891891892,0,1
CSF1R,2.0,4,"Arthritis, Rheumatoid",autoimmune,7.53,84.26,False,0.2,0.1351351351351351,0,1
CSF2,3.0,5,"Arthritis, Rheumatoid; Asthma; Multiple Sclerosis; Psoriasis; Spondylitis, Ankylosing",autoimmune; respiratory; skin,20.08,203.2,False,0.2,0.1351351351351351,0,1
CSF3R,2.0,1,"Crohn Disease; Lupus Erythematosus, Systemic; Multiple Sclerosis",GI; autoimmune,137.23,31.13,True,0.3,0.3243243243243243,0,1
CX3CL1,2.0,1,"Arthritis, Rheumatoid; Crohn Disease",GI; autoimmune,10.89,25.81,False,0.1,0.1891891891891892,0,1
CXCL10,2.0,1,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease",GI; autoimmune,5.29,21.93,False,0.1,0.081081081081081,0,1
CXCR1,2.0,2,"Asthma; Psoriasis; Pulmonary Disease, Chronic Obstructive",respiratory; skin,4.96,0.0,True,0.1,0.054054054054054,0,1
CXCR2,2.0,4,"Asthma; Colitis, Ulcerative; Psoriasis; Pulmonary Disease, Chronic Obstructive",GI; respiratory; skin,69.42,8.12,True,0.1,0.054054054054054,0,1
CYP26A1,2.0,1,Psoriasis,skin,5.39,9.63,False,0.2,0.2702702702702703,0,1
CYSLTR1,4.0,2,"Asthma; Pulmonary Disease, Chronic Obstructive; Rhinitis, Allergic",respiratory,14.82,0.0,True,0.1,0.027027027027027,1,0
DDR2,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,0.0,0.0,False,0.0,0.081081081081081,0,1
DHFR,4.0,2,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Dermatomyositis; Lupus Erythematosus, Systemic; Multiple Sclerosis; Psoriasis; Spondylitis, Ankylosing; Uveitis",GI; autoimmune; eye; respiratory; skin,33.89,42.56,False,0.6,0.3513513513513513,1,0
DHODH,4.0,3,"Arthritis, Rheumatoid; Colitis, Ulcerative; Lupus Erythematosus, Systemic; Multiple Sclerosis; Uveitis",GI; autoimmune; eye,19.91,36.24,False,0.2,0.2432432432432432,1,0
