gene,max_phase,n_trials,diseases,categories,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro,approved,failed
P2RX7,2.0,2,"Arthritis, Rheumatoid",autoimmune,9.05,13.8,False,0.2,0.2972972972972973,0,1
P2RY12,3.0,2,"Pulmonary Disease, Chronic Obstructive",respiratory,0.0,96.27,False,0.0,0.054054054054054,0,1
PDCD1,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,0.0,76.52,False,0.0,0.2432432432432432,0,1
PDE3A,4.0,6,"Arthritis, Rheumatoid; Asthma; Crohn Disease; Nephrotic Syndrome; Pulmonary Disease, Chronic Obstructive",GI; autoimmune; renal; respiratory,11.67,0.0,True,0.1,0.1081081081081081,1,0
PDE5A,3.0,4,"Arthritis, Rheumatoid; Crohn Disease; Nephrotic Syndrome; Pulmonary Disease, Chronic Obstructive",GI; autoimmune; renal; respiratory,22.77,7.56,True,0.3,0.2432432432432432,0,1
PDGFRA,3.0,2,"Arthritis, Rheumatoid; Asthma; Multiple Sclerosis; Psoriasis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory; skin,4.42,134.3,False,0.2,0.2702702702702703,0,1
PDGFRB,3.0,3,"Arthritis, Rheumatoid; Asthma; Multiple Sclerosis; Psoriasis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory; skin,0.0,30.47,False,0.0,0.2162162162162162,0,1
PGR,3.0,4,"Lupus Erythematosus, Systemic; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,6.14,0.0,True,0.1,0.1621621621621621,0,1
PIK3CD,2.0,3,"Asthma; Psoriasis; Pulmonary Disease, Chronic Obstructive",respiratory; skin,13.67,23.02,False,0.3,0.3243243243243243,0,1
PIKFYVE,2.0,2,"Arthritis, Rheumatoid; Crohn Disease",GI; autoimmune,32.2,33.04,False,0.4,0.4594594594594595,0,1
PLA2G4A,1.0,1,"Arthritis, Rheumatoid",autoimmune,4.45,0.0,True,0.1,0.054054054054054,0,1
PPARA,1.0,1,Multiple Sclerosis,autoimmune,16.37,15.95,True,0.3,0.3513513513513513,0,1
PPARG,4.0,4,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease",GI; autoimmune; respiratory,11.09,12.78,False,0.1,0.1621621621621621,1,0
PPAT,4.0,2,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Lupus Erythematosus, Systemic",GI; autoimmune,6.72,17.2,False,0.3,0.2432432432432432,1,0
PPIA,4.0,1,"Arthritis, Rheumatoid; Dermatitis, Atopic; Dermatomyositis; Psoriasis; Pulmonary Disease, Chronic Obstructive; Uveitis",autoimmune; eye; respiratory; skin,17.44,7.85,True,0.5,0.4324324324324324,1,0
PPP3CA,3.0,1,"Lupus Erythematosus, Systemic; Psoriasis; Uveitis",autoimmune; eye; skin,141.59,11.37,True,0.6,0.2972972972972973,0,1
PTAFR,3.0,1,"Arthritis, Rheumatoid",autoimmune,9.03,11.99,False,0.2,0.1081081081081081,0,1
PTGDR2,3.0,11,"Asthma; Dermatitis, Atopic; Pulmonary Disease, Chronic Obstructive",respiratory; skin,5.28,3.67,True,0.2,0.1081081081081081,0,1
PTGER3,3.0,1,"Spondylitis, Ankylosing",autoimmune,0.0,0.0,False,0.0,0.081081081081081,0,1
PTGER4,2.0,2,"Arthritis, Rheumatoid; Colitis, Ulcerative",GI; autoimmune,14.13,27.15,False,0.4,0.3783783783783784,0,1
PTGIR,2.0,2,"Asthma; Pulmonary Disease, Chronic Obstructive",respiratory,2.74,12.14,False,0.2,0.1081081081081081,0,1
PTGS2,4.0,33,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease; Lupus Erythematosus, Systemic; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive; Spondylitis, Ankylosing",GI; autoimmune; respiratory,6.62,3.24,True,0.2,0.1891891891891892,1,0
PTH1R,2.0,2,Psoriasis,skin,47.2,234.52,False,0.3,0.3783783783783784,0,1
RAF1,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,19.66,40.61,False,0.4,0.4054054054054054,0,1
RARA,4.0,5,Crohn Disease; Psoriasis,GI; skin,34.13,242.19,False,0.4,0.3243243243243243,1,0
RARB,4.0,5,Crohn Disease; Psoriasis,GI; skin,0.0,89.36,False,0.0,0.1351351351351351,1,0
REN,2.0,1,"Colitis, Ulcerative",GI,216.9,21.99,True,0.2,0.081081081081081,0,1
RET,2.0,2,"Psoriasis; Pulmonary Disease, Chronic Obstructive",respiratory; skin,3.91,27.19,False,0.1,0.0,0,1
RIPK1,2.0,1,"Arthritis, Rheumatoid; Colitis, Ulcerative; Psoriasis",GI; autoimmune; skin,18.79,171.22,False,0.5,0.3783783783783784,0,1
ROCK2,2.0,1,Psoriasis,skin,10.49,58.06,False,0.5,0.4324324324324324,0,1
S1PR1,4.0,11,"Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Dermatomyositis; Lupus Erythematosus, Systemic; Multiple Sclerosis; Psoriasis",GI; autoimmune; skin,6.26,29.35,False,0.4,0.2702702702702703,1,0
S1PR4,4.0,4,"Colitis, Ulcerative; Crohn Disease; Lupus Erythematosus, Systemic; Multiple Sclerosis; Psoriasis",GI; autoimmune; skin,0.0,27.15,False,0.1,0.2432432432432432,1,0
S1PR5,4.0,5,"Colitis, Ulcerative; Crohn Disease; Lupus Erythematosus, Systemic; Multiple Sclerosis; Psoriasis",GI; autoimmune; skin,5.07,15.94,False,0.1,0.2162162162162162,1,0
SCN4A,2.0,5,Crohn Disease; Multiple Sclerosis,GI; autoimmune,0.0,5.51,False,0.0,0.1081081081081081,0,1
SCN5A,2.0,5,Crohn Disease; Multiple Sclerosis,GI; autoimmune,0.0,18.58,False,0.0,0.1081081081081081,0,1
SELPLG,2.0,1,Psoriasis,skin,7.43,127.73,False,0.3,0.5135135135135135,0,1
SERPINC1,2.0,1,Nephrotic Syndrome,renal,0.0,0.0,False,0.0,0.0,0,1
SIGLEC8,2.0,1,"Dermatitis, Atopic",skin,15.57,0.0,True,0.1,0.027027027027027,0,1
SIRT1,2.0,1,"Colitis, Ulcerative; Psoriasis; Pulmonary Disease, Chronic Obstructive",GI; respiratory; skin,41.02,239.18,False,0.5,0.4594594594594595,0,1
SLC12A1,4.0,3,"Nephrotic Syndrome; Pulmonary Disease, Chronic Obstructive",renal; respiratory,2.43,8.67,False,0.2,0.1351351351351351,1,0
SLC12A3,4.0,3,Nephrotic Syndrome,renal,7.35,40.15,False,0.2,0.4324324324324324,1,0
SLC29A1,2.0,1,"Arthritis, Rheumatoid",autoimmune,34.57,42.62,False,0.3,0.3513513513513513,0,1
SLC5A2,2.0,1,"Colitis, Ulcerative; Crohn Disease",GI,25.13,17.87,True,0.2,0.1081081081081081,0,1
SLC6A2,4.0,5,"Dermatitis, Atopic; Multiple Sclerosis; Psoriasis",autoimmune; skin,0.0,0.0,False,0.0,0.027027027027027,1,0
SLC6A3,3.0,4,Multiple Sclerosis,autoimmune,0.0,7.65,False,0.0,0.1081081081081081,0,1
SLC6A4,3.0,2,"Dermatitis, Atopic; Multiple Sclerosis; Psoriasis",autoimmune; skin,4.7,0.0,True,0.1,0.1081081081081081,0,1
SNAP25,3.0,1,"Multiple Sclerosis; Psoriasis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory; skin,0.0,131.76,False,0.0,0.2702702702702703,0,1
SPP1,1.0,1,"Arthritis, Rheumatoid",autoimmune,137.09,6.6,True,0.6,0.2162162162162162,0,1
SYK,3.0,7,"Arthritis, Rheumatoid; Asthma; Dermatitis, Atopic; Lupus Erythematosus, Systemic",autoimmune; respiratory; skin,55.92,6.88,True,0.4,0.2432432432432432,0,1
TACR1,3.0,2,"Dermatitis, Atopic; Pulmonary Disease, Chronic Obstructive",respiratory; skin,0.0,0.0,False,0.0,0.1891891891891892,0,1
TEK,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,0.0,0.0,False,0.0,0.054054054054054,0,1
TLR2,2.0,1,"Colitis, Ulcerative; Psoriasis",GI; skin,11.37,12.71,False,0.2,0.1081081081081081,0,1
TLR7,4.0,5,"Arthritis, Rheumatoid; Asthma; Dermatomyositis; Lupus Erythematosus, Systemic; Psoriasis",autoimmune; respiratory; skin,0.0,3.51,False,0.1,0.027027027027027,1,0
TLR8,2.0,3,"Dermatomyositis; Lupus Erythematosus, Systemic; Psoriasis",autoimmune; skin,0.0,0.0,False,0.0,0.054054054054054,0,1
TLR9,4.0,3,"Arthritis, Rheumatoid; Colitis, Ulcerative; Dermatomyositis; Lupus Erythematosus, Systemic; Psoriasis",GI; autoimmune; skin,9.84,44.51,False,0.1,0.1621621621621621,1,0
TNF,4.0,10,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease; Dermatomyositis; Psoriasis; Pulmonary Disease, Chronic Obstructive; Spondylitis, Ankylosing; Uveitis",GI; autoimmune; eye; respiratory; skin,36.86,19.49,True,0.1,0.1081081081081081,1,0
TNFRSF13C,2.0,1,"Arthritis, Rheumatoid; Multiple Sclerosis",autoimmune,0.0,104.09,False,0.1,0.2162162162162162,0,1
TNFRSF4,3.0,2,"Colitis, Ulcerative; Dermatitis, Atopic",GI; skin,0.0,193.04,False,0.0,0.4054054054054054,0,1
TNFSF11,3.0,1,"Arthritis, Rheumatoid; Crohn Disease",GI; autoimmune,0.0,0.0,False,0.0,0.1081081081081081,0,1
TNFSF12,1.0,1,"Arthritis, Rheumatoid",autoimmune,11.51,11.96,False,0.2,0.2162162162162162,0,1
TNFSF13,2.0,1,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Multiple Sclerosis",autoimmune,15.47,48.73,False,0.5,0.5405405405405406,0,1
TNFSF13B,4.0,6,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Multiple Sclerosis; Nephrotic Syndrome",autoimmune; renal,0.0,0.0,False,0.0,0.0,1,0
TNFSF14,2.0,2,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease",GI; autoimmune; respiratory,35.06,90.67,False,0.2,0.4054054054054054,0,1
TNFSF4,3.0,2,"Asthma; Dermatitis, Atopic",respiratory; skin,3.38,22.64,False,0.5,0.5405405405405406,0,1
TOP2A,4.0,2,Multiple Sclerosis,autoimmune,7.79,94.71,False,0.1,0.2702702702702703,1,0
TRAF3IP2,3.0,1,"Arthritis, Rheumatoid",autoimmune,7.8,151.92,False,0.3,0.4594594594594595,0,1
TRPV1,3.0,3,"Arthritis, Rheumatoid; Crohn Disease; Dermatitis, Atopic; Lupus Erythematosus, Systemic; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive",GI; autoimmune; respiratory; skin,0.0,0.0,False,0.0,0.027027027027027,0,1
TSLP,4.0,1,"Asthma; Dermatitis, Atopic; Pulmonary Disease, Chronic Obstructive",respiratory; skin,23.96,3.11,True,0.2,0.1351351351351351,1,0
TYK2,4.0,11,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Dermatomyositis; Lupus Erythematosus, Systemic; Psoriasis; Spondylitis, Ankylosing; Uveitis",GI; autoimmune; eye; skin,20.2,73.07,False,0.3,0.3783783783783784,1,0
TYMS,3.0,2,"Pulmonary Disease, Chronic Obstructive",respiratory,10.85,10.02,True,0.4,0.4054054054054054,0,1
VDR,4.0,8,"Asthma; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Lupus Erythematosus, Systemic; Multiple Sclerosis; Psoriasis; Pulmonary Disease, Chronic Obstructive",GI; autoimmune; respiratory; skin,30.94,15.24,True,0.4,0.1621621621621621,1,0
VEGFA,3.0,1,"Pulmonary Disease, Chronic Obstructive; Uveitis",eye; respiratory,110.38,11.56,True,0.4,0.4324324324324324,0,1
VKORC1,1.0,1,"Arthritis, Rheumatoid",autoimmune,120.19,48.52,True,0.4,0.2972972972972973,0,1
XDH,3.0,1,"Colitis, Ulcerative",GI,0.0,8.12,False,0.0,0.1621621621621621,0,1
