gene_name,VDR_score,GR_score,VDR_dominant,承認済,P1止まり,P1→II通過率,pred_prob_A,pred_passrate
CALCRL,6.77,0.0,True,6,0,1.0,0.6677322274014508,0.96337321217403
CXCR1,4.96,0.0,True,0,0,1.0,0.6669193076603414,0.9689015873501199
ADRB1,3.23,169.87,False,28,0,1.0,0.6666987688547469,0.8997430038486784
CD276,8.84,130.79,False,0,0,1.0,0.6666974691336707,0.9363086562262918
CDK6,9.72,17.6,False,6,0,1.0,0.6656657945348518,0.9075601240602527
PTAFR,9.03,11.99,False,1,0,1.0,0.6647410478523136,0.955351263066368
CYP26A1,5.39,9.63,False,0,0,1.0,0.6641436746986553,0.9245362677150168
NTRK2,4.45,0.0,True,1,2,0.5,0.6640873321304663,0.9590464476537542
IL4R,24.75,50.92,False,1,0,1.0,0.6634547240243827,0.9324466322246805
FGF1,4.72,1.68,True,0,0,1.0,0.663150931860814,0.9527203316994484
HRH4,6.54,0.0,True,0,0,1.0,0.6626221200259855,0.9801232867965617
KEAP1,17.93,41.8,False,3,0,1.0,0.6624686139589149,0.8859255917114469
HTR2A,7.67,0.0,True,43,0,1.0,0.6623693547406589,0.9644011897423808
EEF2,17.44,125.78,False,3,2,0.818,0.6620878827142904,0.874161260134226
SLC6A4,4.7,0.0,True,29,0,1.0,0.6618860069122583,0.9594671224145137
ARAF,7.72,80.65,False,0,1,0.0,0.6616871501795758,0.8751663690705299
PTGS2,6.62,3.24,True,11,0,1.0,0.6616418915953322,0.941829498819245
TYRP1,7.57,46.17,False,0,0,1.0,0.6616213600495422,0.9544119662150173
IL1B,10.2,45.09,False,2,1,0.8,0.6615690347445747,0.9229118995900263
FGF2,16.66,55.25,False,0,0,1.0,0.6613059466285579,0.9277244600173453
RIPK1,18.79,171.22,False,0,0,1.0,0.6608187946710106,0.9001661271384098
MMP7,6.07,39.99,False,3,0,1.0,0.6594881536201667,0.9394067266015571
S1PR5,5.07,15.94,False,2,0,1.0,0.6588240857729206,0.9355044632532878
ACE,4.76,40.31,False,14,0,1.0,0.6587321068194146,0.9239425873442526
CA7,8.49,12.51,False,1,0,1.0,0.6574204974885374,0.9672655996457423
SV2A,15.41,9.71,True,2,0,1.0,0.6570163804657813,0.9569058459082719
TLR2,11.37,12.71,False,0,0,1.0,0.654678614959226,0.9571937731098573
KDR,7.48,97.78,False,4,9,0.727,0.654395419876387,0.9130376101422127
TRAF3IP2,7.8,151.92,False,0,0,1.0,0.6541830006083552,0.8863300149901858
CYP46A1,4.33,6.99,False,0,0,1.0,0.6540765294296527,0.9270005954339154
BRAF,15.34,42.78,False,5,4,0.714,0.6529150104324118,0.9140491733584034
FLT3,8.72,45.79,False,14,11,0.756,0.651694576649558,0.9511035982323576
TYMS,10.85,10.02,True,7,0,1.0,0.650730815124884,0.9006901767732727
ADRA1A,7.35,0.0,True,4,0,1.0,0.6502673102709035,0.9720642624218505
NFE2L2,14.76,71.59,False,1,0,1.0,0.6500008319167585,0.9035289326136096
HPSE,9.27,57.65,False,0,0,1.0,0.6494814906751906,0.9250512713386038
ERBB3,16.13,14.69,True,0,1,0.917,0.6488877060590627,0.9213646178521797
ALDH2,13.55,4.69,True,1,0,1.0,0.6487128819696293,0.9437107256906482
SELPLG,7.43,127.73,False,0,0,1.0,0.6480756389813258,0.8773078111592758
MMP9,11.54,71.71,False,0,0,1.0,0.6479853704896267,0.9354452508281214
MAP2K2,11.07,47.1,False,5,4,0.75,0.6470922079387625,0.9099910604928511
PTGER4,14.13,27.15,False,0,0,1.0,0.6470907030574383,0.9053290854647714
CHRM3,11.74,0.0,True,36,1,0.978,0.6469162969329033,0.9725191919555318
DHFR,33.89,42.56,False,8,0,1.0,0.6468328788513817,0.9096523350560431
FCGRT,8.46,0.0,True,2,0,1.0,0.6433584315923592,0.9471869137221922
PGR,6.14,0.0,True,21,1,0.971,0.6433327422324837,0.9525637173018539
ITGA2,19.37,107.8,False,0,0,1.0,0.6429400127530925,0.9095111408395348
TLR9,9.84,44.51,False,1,0,1.0,0.6423819615358043,0.9476823638548323
FAAH,9.36,119.53,False,1,0,1.0,0.6423630836892747,0.9359971728903602
TOP2A,7.79,94.71,False,8,0,1.0,0.6420042646463461,0.9259709836429404
PPIA,17.44,7.85,True,1,0,1.0,0.6415285628264277,0.8973272332445553
TNFSF13,15.47,48.73,False,0,0,1.0,0.6414526372467559,0.8742577049658408
CDK5,20.19,115.98,False,0,1,0.667,0.6406794199972412,0.8836662629170228
CHEK1,21.53,17.93,True,0,5,0.444,0.6397901008157637,0.9280102294343575
P2RX7,9.05,13.8,False,0,1,0.75,0.6396272076631752,0.9235130107690557
EPHX2,12.61,0.0,True,0,0,1.0,0.6392217863755653,0.9425827240068939
TNFSF12,11.51,11.96,False,0,1,0.5,0.6390312601679332,0.9393967645693787
IFNAR1,18.05,43.92,False,1,0,1.0,0.6385816554437772,0.9324611384036027
CSF2,20.08,203.2,False,0,0,1.0,0.6383811109767552,0.9514616678890647
TOP1,15.15,65.24,False,4,0,1.0,0.6378031540649666,0.91649301200897
IL15,31.5,27.81,True,0,0,1.0,0.6377287406888649,0.9224632510175437
CD52,9.65,0.0,True,1,0,1.0,0.6373643589905603,0.9482982643427474
PIK3CD,13.67,23.02,False,7,2,0.905,0.6373051670427152,0.917928951321362
CCR2,7.74,6.95,True,0,0,1.0,0.6365972210337811,0.9406669634524405
AVPR2,22.5,95.61,False,5,0,1.0,0.6363777678884959,0.9632216493493134
