gene,disease,category,mol_id,max_phase,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro
PTGDR2,Asthma,respiratory,CHEMBL5314403,2.0,5.28,3.67,True,0.2,0.1081081081081081
KIT,Asthma,respiratory,CHEMBL1908391,3.0,21.29,137.44,False,0.3,0.3513513513513513
FGFR3,Asthma,respiratory,CHEMBL1908391,3.0,21.59,21.82,False,0.1,0.1081081081081081
PDGFRA,Asthma,respiratory,CHEMBL1908391,3.0,4.42,134.3,False,0.2,0.2702702702702703
PDGFRB,Asthma,respiratory,CHEMBL1908391,3.0,0.0,30.47,False,0.0,0.2162162162162162
SYK,Asthma,respiratory,CHEMBL2170582,2.0,55.92,6.88,True,0.4,0.2432432432432432
TSLP,Asthma,respiratory,CHEMBL3707229,4.0,23.96,3.11,True,0.2,0.1351351351351351
CSF2,Asthma,respiratory,CHEMBL3707325,2.0,20.08,203.2,False,0.2,0.1351351351351351
CHRM3,Asthma,respiratory,CHEMBL3707249,2.0,11.74,0.0,True,0.2,0.054054054054054
CHRNA7,Asthma,respiratory,CHEMBL3707249,2.0,0.0,0.0,False,0.0,0.0
CHRM1,Asthma,respiratory,CHEMBL3707249,2.0,0.0,43.55,False,0.0,0.2432432432432432
CHRM2,Asthma,respiratory,CHEMBL3707249,2.0,0.0,3.5,False,0.0,0.081081081081081
ADH5,Asthma,respiratory,CHEMBL3989910,2.0,48.36,80.42,False,0.1,0.3783783783783784
ADH5,Asthma,respiratory,CHEMBL1738699,1.0,48.36,80.42,False,0.1,0.3783783783783784
NOS2,Asthma,respiratory,CHEMBL114551,1.0,4.35,0.0,True,0.2,0.1621621621621621
ADRB2,Asthma,respiratory,CHEMBL1240967,2.0,14.51,48.38,False,0.6,0.2972972972972973
NPR1,Asthma,respiratory,CHEMBL4297320,2.0,3.93,2.99,True,0.1,0.1351351351351351
NR3C1,Asthma,respiratory,CHEMBL4072756,2.0,56.91,9.43,True,0.2,0.1891891891891892
PTGDR2,Asthma,respiratory,CHEMBL551813,2.0,5.28,3.67,True,0.2,0.1081081081081081
ALOX5,Asthma,respiratory,CHEMBL4297416,2.0,3.77,14.06,False,0.1,0.1081081081081081
TLR7,Asthma,respiratory,CHEMBL4297492,2.0,0.0,3.51,False,0.1,0.027027027027027
IL33,Asthma,respiratory,CHEMBL4297580,2.0,0.0,3.73,False,0.0,0.054054054054054
IL13,Asthma,respiratory,CHEMBL4297864,1.0,3.31,99.09,False,0.2,0.1621621621621621
IL17A,Asthma,respiratory,CHEMBL4297926,2.0,0.0,0.0,False,0.0,0.0
PDE3A,Asthma,respiratory,CHEMBL4594287,2.0,11.67,0.0,True,0.1,0.1081081081081081
NR3C1,Asthma,respiratory,CHEMBL3666807,2.0,56.91,9.43,True,0.2,0.1891891891891892
TNFSF4,Asthma,respiratory,CHEMBL4594569,2.0,3.38,22.64,False,0.5,0.5405405405405406
BTK,Asthma,respiratory,CHEMBL3702854,2.0,209.73,65.13,True,0.4,0.2432432432432432
IL33,Asthma,respiratory,CHEMBL4594594,2.0,0.0,3.73,False,0.0,0.054054054054054
IL5,Asthma,respiratory,CHEMBL4650469,3.0,6.02,123.29,False,0.3,0.4054054054054054
CALCRL,Asthma,respiratory,CHEMBL2397415,1.0,6.77,0.0,True,0.2,0.081081081081081
TNFSF14,Asthma,respiratory,CHEMBL4802198,2.0,35.06,90.67,False,0.2,0.4054054054054054
ADRB1,Asthma,respiratory,CHEMBL2146102,4.0,3.23,169.87,False,0.1,0.3783783783783784
ADRB2,Asthma,respiratory,CHEMBL2146102,4.0,14.51,48.38,False,0.6,0.2972972972972973
ADRA1A,Asthma,respiratory,CHEMBL2146102,4.0,7.35,0.0,True,0.1,0.054054054054054
ADRB2,Asthma,respiratory,CHEMBL4297483,1.0,14.51,48.38,False,0.6,0.2972972972972973
CHRM3,Asthma,respiratory,CHEMBL4297483,1.0,11.74,0.0,True,0.2,0.054054054054054
CXCR1,Asthma,respiratory,CHEMBL2103864,2.0,4.96,0.0,True,0.1,0.054054054054054
CXCR2,Asthma,respiratory,CHEMBL2103864,2.0,69.42,8.12,True,0.1,0.054054054054054
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL551466,4.0,11.74,0.0,True,0.2,0.054054054054054
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL714,4.0,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1441059,4.0,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1951071,4.0,14.51,48.38,False,0.6,0.2972972972972973
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1370,4.0,56.91,9.43,True,0.2,0.1891891891891892
