disease,category,mol_id,max_phase,efo_term
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201139,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2105743,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL193240,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1082607,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1064,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1355736,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3545181,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL523299,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1084172,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL957,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1676,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL494,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201589,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL635,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1237119,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201834,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL160,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1200699,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2010601,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3084748,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL131,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1161,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL25,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL831,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL93,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3989798,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201014,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1198857,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2107811,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1187833,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3039531,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1914489,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2218893,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL771,0.5,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1742420,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1234886,3.0,chronic obstructive pulmonary disease
