gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
PPARG,11.09,12.78,1,4,1.0,3.0,1.0,6.0,0.1,0.1621621621621621,False,-0.6462645779900534,other
RAF1,19.66,40.61,4,24,4.0,16.0,4.0,15.0,0.4,0.4054054054054054,False,-0.0188960794437378,other
HDAC11,64.61,65.73,4,21,4.0,11.0,3.0,12.0,0.3,0.3243243243243243,False,-0.1089801089605447,other
RARB,0.0,89.36,0,12,0.0,7.0,0.0,5.0,0.0,0.1351351351351351,False,-3.859324912356463,other
ACVR2B,5.09,39.09,2,16,2.0,10.0,2.0,10.0,0.2,0.2702702702702703,False,-0.4164293904055157,other
SCN5A,0.0,18.58,0,4,0.0,3.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,other
CCR9,0.0,12.27,0,7,0.0,4.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,failed
CCR1,68.06,18.84,2,2,2.0,2.0,2.0,2.0,0.2,0.054054054054054,True,1.7130275395094512,other
CCR2,7.74,6.95,1,11,1.0,9.0,1.0,8.0,0.1,0.2162162162162162,True,-1.0401988282840968,failed
CCR5,19.46,0.0,1,0,1.0,0.0,1.0,0.0,0.1,0.0,True,3.4594316186372973,other
PTH1R,47.2,234.52,3,22,3.0,12.0,3.0,14.0,0.3,0.3783783783783784,False,-0.3251946704415115,other
TLR9,9.84,44.51,1,5,1.0,5.0,1.0,6.0,0.1,0.1621621621621621,False,-0.6462645779900534,other
TIGIT,0.0,8.84,0,5,0.0,4.0,0.0,5.0,0.0,0.1351351351351351,False,-3.859324912356463,failed
CD80,11.29,0.0,0,18,0.0,10.0,0.0,11.0,0.0,0.2972972972972973,True,-4.941563173263298,other
CD86,26.86,18.65,1,1,1.0,1.0,1.0,1.0,0.1,0.027027027027027,True,1.5708529013057202,approved
PIK3CB,26.43,23.03,3,14,3.0,11.0,3.0,13.0,0.3,0.3513513513513513,True,-0.2211340740775279,other
ATR,36.05,89.15,4,28,4.0,18.0,4.0,17.0,0.4,0.4594594594594595,False,-0.1953766684633593,other
P2RY12,0.0,96.27,0,2,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other
GMPS,14.64,30.96,3,15,3.0,10.0,2.0,10.0,0.2,0.2702702702702703,False,-0.4164293904055157,other
FGFR3,21.59,21.82,1,5,1.0,3.0,1.0,4.0,0.1,0.1081081081081081,False,-0.1026044852343513,other
PDGFRA,4.42,134.3,2,14,2.0,9.0,2.0,10.0,0.2,0.2702702702702703,False,-0.4164293904055157,other
KIT,21.29,137.44,3,27,3.0,16.0,3.0,13.0,0.3,0.3513513513513513,False,-0.2211340740775279,other
KDR,7.48,97.78,2,18,2.0,12.0,2.0,12.0,0.2,0.3243243243243243,False,-0.6708589965686595,other
PPAT,6.72,17.2,4,14,3.0,10.0,3.0,9.0,0.3,0.2432432432432432,False,0.2917444383566379,other
GNRHR,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other
CXCL8,10.92,133.41,3,32,2.0,17.0,2.0,18.0,0.2,0.4864864864864865,False,-1.2413651227036395,other
CXCL10,5.29,21.93,1,4,1.0,4.0,1.0,3.0,0.1,0.081081081081081,False,0.2722802030843886,ongoing
HPSE,9.27,57.65,2,13,2.0,8.0,2.0,10.0,0.2,0.2702702702702703,False,-0.4164293904055157,other
SPP1,137.09,6.6,12,6,8.0,5.0,6.0,8.0,0.6,0.2162162162162162,True,1.431106890641492,other
ADH5,48.36,80.42,1,20,1.0,12.0,1.0,14.0,0.1,0.3783783783783784,False,-1.8199593621910897,other
PPP3CA,141.59,11.37,12,16,8.0,10.0,6.0,11.0,0.6,0.2972972972972973,True,0.9891741642995882,other
PDE5A,22.77,7.56,3,9,3.0,7.0,3.0,9.0,0.3,0.2432432432432432,True,0.2917444383566379,other
FGF2,16.66,55.25,4,15,4.0,11.0,4.0,9.0,0.4,0.2432432432432432,False,0.6951001325878468,other
IL15,31.5,27.81,5,13,5.0,10.0,5.0,11.0,0.5,0.2972972972972973,True,0.7308621687081974,other
