gene,disease,category,phase,mol_status,mol_id,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1473,56.91,9.43,True,0.2,0.1891891891891892
CHRM1,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1201027,0.0,43.55,False,0.0,0.2432432432432432
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1201027,11.74,0.0,True,0.2,0.054054054054054
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1789842,14.51,48.38,False,0.6,0.2972972972972973
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL2134724,11.74,0.0,True,0.2,0.054054054054054
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL2105743,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1082607,14.51,48.38,False,0.6,0.2972972972972973
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL3545181,11.74,0.0,True,0.2,0.054054054054054
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL523299,11.74,0.0,True,0.2,0.054054054054054
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1084172,14.51,48.38,False,0.6,0.2972972972972973
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1676,56.91,9.43,True,0.2,0.1891891891891892
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL3989798,14.51,48.38,False,0.6,0.2972972972972973
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1201014,56.91,9.43,True,0.2,0.1891891891891892
CXCR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3039531,69.42,8.12,True,0.1,0.054054054054054
PTGDR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1914489,5.28,3.67,True,0.2,0.1081081081081081
LTB4R,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1742420,157.15,54.63,True,0.4,0.1621621621621621
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3545103,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3039530,14.51,48.38,False,0.6,0.2972972972972973
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1088751,34.95,69.51,False,0.5,0.5405405405405406
CHRM2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3039518,0.0,3.5,False,0.0,0.081081081081081
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3039518,14.51,48.38,False,0.6,0.2972972972972973
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3039518,11.74,0.0,True,0.2,0.054054054054054
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1938400,34.95,69.51,False,0.5,0.5405405405405406
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1094785,14.51,48.38,False,0.6,0.2972972972972973
MAPK11,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1088752,4.16,27.38,False,0.4,0.4054054054054054
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1088752,34.95,69.51,False,0.5,0.5405405405405406
ACVR2B,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3137353,5.09,39.09,False,0.2,0.2702702702702703
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3545222,11.74,0.0,True,0.2,0.054054054054054
IKBKB,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3545168,17.32,72.67,False,0.2,0.3783783783783784
CHRM1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3707249,0.0,43.55,False,0.0,0.2432432432432432
CHRM2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3707249,0.0,3.5,False,0.0,0.081081081081081
CHRNA7,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3707249,0.0,0.0,False,0.0,0.0
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3707249,11.74,0.0,True,0.2,0.054054054054054
PIK3CD,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL5314409,13.67,23.02,False,0.3,0.3243243243243243
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL9960,34.95,69.51,False,0.5,0.5405405405405406
CCR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3545221,7.74,6.95,True,0.1,0.2162162162162162
TRPV1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3707293,0.0,0.0,False,0.0,0.027027027027027
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL2103838,34.95,69.51,False,0.5,0.5405405405405406
CCR1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL2178570,68.06,18.84,True,0.2,0.054054054054054
CFTR,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL4650318,0.0,0.0,False,0.1,0.1621621621621621
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,failed,CHEMBL32800,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1940832,14.51,48.38,False,0.6,0.2972972972972973
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,failed,CHEMBL3544968,34.95,69.51,False,0.5,0.5405405405405406
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,failed,CHEMBL3545087,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,failed,CHEMBL3916700,14.51,48.38,False,0.6,0.2972972972972973
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,failed,CHEMBL3916700,11.74,0.0,True,0.2,0.054054054054054
ADORA2A,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1096896,2.81,2.2,True,0.1,0.1081081081081081
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL3833319,11.74,0.0,True,0.2,0.054054054054054
IL1R1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL2109607,5.72,333.19,False,0.2,0.6486486486486487
PTGDR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3137332,5.28,3.67,True,0.2,0.1081081081081081
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL5314397,34.95,69.51,False,0.5,0.5405405405405406
PIK3CD,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL2216859,13.67,23.02,False,0.3,0.3243243243243243
INPP5D,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3989954,179.9,33.08,True,0.4,0.1891891891891892
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1240967,14.51,48.38,False,0.6,0.2972972972972973
MMP12,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL4297352,0.0,0.0,False,0.0,0.027027027027027
MMP9,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL4297352,11.54,71.71,False,0.2,0.2162162162162162
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL4072756,56.91,9.43,True,0.2,0.1891891891891892
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1921904,11.74,0.0,True,0.2,0.054054054054054
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL1084173,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL4297483,14.51,48.38,False,0.6,0.2972972972972973
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL4297483,11.74,0.0,True,0.2,0.054054054054054
ELANE,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3617964,64.17,29.71,True,0.2,0.3783783783783784
MARCKS,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL4297701,12.36,34.9,False,0.4,0.2702702702702703
MET,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3334567,22.4,124.2,False,0.1,0.2972972972972973
ADH5,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3989910,48.36,80.42,False,0.1,0.3783783783783784
IL33,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,failed,CHEMBL4594594,0.0,3.73,False,0.0,0.054054054054054
ADORA1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL3545162,0.0,198.31,False,0.0,0.2432432432432432
CXCR1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL2103864,4.96,0.0,True,0.1,0.054054054054054
CXCR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,failed,CHEMBL2103864,69.42,8.12,True,0.1,0.054054054054054
CYSLTR1,"Rhinitis, Allergic",respiratory,4.0,approved,CHEMBL1200681,14.82,0.0,True,0.1,0.027027027027027
NR3C1,"Rhinitis, Allergic",respiratory,4.0,approved,CHEMBL1161,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Rhinitis, Allergic",respiratory,4.0,approved,CHEMBL1200500,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Rhinitis, Allergic",respiratory,4.0,approved,CHEMBL1201014,56.91,9.43,True,0.2,0.1891891891891892
HRH1,"Rhinitis, Allergic",respiratory,4.0,approved,CHEMBL3188034,140.89,65.51,True,0.4,0.4324324324324324
HRH1,"Rhinitis, Allergic",respiratory,4.0,approved,CHEMBL1200795,140.89,65.51,True,0.4,0.4324324324324324
HRH1,"Rhinitis, Allergic",respiratory,4.0,approved,CHEMBL1200809,140.89,65.51,True,0.4,0.4324324324324324
NR3C1,"Rhinitis, Allergic",respiratory,4.0,approved,CHEMBL384467,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Rhinitis, Allergic",respiratory,4.0,approved,CHEMBL635,56.91,9.43,True,0.2,0.1891891891891892
HRH1,"Rhinitis, Allergic",respiratory,4.0,approved,CHEMBL1620,140.89,65.51,True,0.4,0.4324324324324324
CD86,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1201823,26.86,18.65,True,0.1,0.027027027027027
CD80,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1201823,11.29,0.0,True,0.0,0.2972972972972973
TNF,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1201580,36.86,19.49,True,0.1,0.1081081081081081
