gene,VDR_score,GR_score,log_VDR,log_GR,VDR_repro,GR_repro,VDR_dominant,status,pred_prob
CHRM2,0.0,3.5,0.0,1.5040773967762742,0.0,0.081081081081081,False,other,0.431734178153735
COMT,24.92,49.14,3.255014871484074,3.914819092730147,0.2,0.3783783783783784,False,other,0.43100658919541973
PTGER2,0.0,83.44,0.0,4.43604122298012,0.0,0.2162162162162162,False,other,0.4298454443153471
CA12,20.55,19.07,3.070375816549757,2.9992261628082466,0.3,0.3243243243243243,True,other,0.4293728415047508
IL5RA,20.35,61.24,3.0610517396746335,4.130997879870137,0.2,0.3783783783783784,False,other,0.4291841739935817
ERBB3,16.13,14.69,2.8408313123360287,2.753023566744941,0.4,0.2972972972972973,True,other,0.428595316852121
IKBKB,17.32,72.67,2.9079933592459843,4.299595660694722,0.2,0.3783783783783784,False,other,0.4276475507852107
DRD2,0.0,3.32,0.0,1.463255402256019,0.1,0.081081081081081,False,other,0.42645025164057104
PIK3CB,26.43,23.03,3.311637304949512,3.1793030497483774,0.3,0.3513513513513513,True,other,0.4243683043383229
FGFR1,7.25,63.29,2.1102132003465894,4.163404098153595,0.4,0.3243243243243243,False,other,0.4218592490944547
SCN4A,0.0,5.51,0.0,1.873339456220478,0.0,0.1081081081081081,False,other,0.42047616327353604
GLP2R,0.0,9.98,0.0,2.3960754360813845,0.0,0.1351351351351351,False,other,0.41692597161953876
CD4,0.0,0.0,0.0,0.0,0.0,0.027027027027027,False,other,0.4159081179620944
GRIA1,0.0,0.0,0.0,0.0,0.0,0.027027027027027,False,other,0.4159081179620944
SLC6A2,0.0,0.0,0.0,0.0,0.0,0.027027027027027,False,other,0.4159081179620944
MMP12,0.0,0.0,0.0,0.0,0.0,0.027027027027027,False,other,0.4159081179620944
TRPV1,0.0,0.0,0.0,0.0,0.0,0.027027027027027,False,other,0.4159081179620944
TLR3,0.0,0.0,0.0,0.0,0.0,0.027027027027027,False,other,0.4159081179620944
GRIA2,0.0,0.0,0.0,0.0,0.0,0.027027027027027,False,other,0.4159081179620944
IL17F,0.0,0.0,0.0,0.0,0.0,0.027027027027027,False,other,0.4159081179620944
GNRHR,0.0,0.0,0.0,0.0,0.0,0.027027027027027,False,other,0.4159081179620944
PIK3CD,13.67,23.02,2.6858045921548905,3.1788868166518376,0.3,0.3243243243243243,False,other,0.41334029202169437
MS4A1,0.0,8.92,0.0,2.2945529212967815,0.0,0.1351351351351351,False,approved,0.4118769068498469
TIGIT,0.0,8.84,0.0,2.286455711064162,0.0,0.1351351351351351,False,failed,0.41147498736046606
NFE2L2,14.76,71.59,2.757475084429733,4.284827171296749,0.4,0.3783783783783784,False,other,0.4107078835641437
HDAC8,0.0,54.22,0.0,4.011325206502009,0.0,0.2162162162162162,False,other,0.4086560366674038
HMGCR,23.51,34.51,3.1990811975400213,3.5698143469549963,0.3,0.3783783783783784,False,other,0.4069531635299059
MAP2K2,11.07,47.1,2.4907230351094403,3.8732821771117156,0.3,0.3513513513513513,False,other,0.405736847055566
ABAT,0.0,97.03,0.0,4.585273554273635,0.2,0.2432432432432432,False,other,0.4013070364831448
P2RX7,9.05,13.8,2.307572634505085,2.6946271807700692,0.2,0.2972972972972973,False,other,0.3976202459466792
MMP13,0.0,13.01,0.0,2.6397713603489157,0.1,0.1621621621621621,False,other,0.3964251937560106
PDCD1,0.0,76.52,0.0,4.350535967582511,0.0,0.2432432432432432,False,approved,0.3961046241927758
SNAP25,0.0,131.76,0.0,4.888542986851774,0.0,0.2702702702702703,False,other,0.3933673820178572
PGR,6.14,0.0,1.965712776351493,0.0,0.1,0.1621621621621621,True,other,0.39244781284615987
VEGFA,110.38,11.56,4.7129477781615225,2.5305171610400525,0.4,0.4324324324324324,True,approved,0.3911718471673562
