gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status,PPARG_score,PPARG_celltypes,PPARG_experiments,PPARG_repro
SCN5A,0.0,18.58,0.0,4.0,0.0,3.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,other,11,1,1,0.1111
CCR9,0.0,12.27,0.0,7.0,0.0,4.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,failed,0,0,0,0.0
CCR1,68.06,18.84,2.0,2.0,2.0,2.0,2.0,2.0,0.2,0.054054054054054,True,1.7130275395094512,other,0,0,0,0.0
CCR2,7.74,6.95,1.0,11.0,1.0,9.0,1.0,8.0,0.1,0.2162162162162162,True,-1.0401988282840968,failed,0,0,0,0.0
CCR5,19.46,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1,0.0,True,3.4594316186372973,other,0,0,0,0.0
PTH1R,47.2,234.52,3.0,22.0,3.0,12.0,3.0,14.0,0.3,0.3783783783783784,False,-0.3251946704415115,other,0,0,0,0.0
TLR9,9.84,44.51,1.0,5.0,1.0,5.0,1.0,6.0,0.1,0.1621621621621621,False,-0.6462645779900534,other,0,0,0,0.0
TIGIT,0.0,8.84,0.0,5.0,0.0,4.0,0.0,5.0,0.0,0.1351351351351351,False,-3.859324912356463,failed,0,0,0,0.0
CD80,11.29,0.0,0.0,18.0,0.0,10.0,0.0,11.0,0.0,0.2972972972972973,True,-4.941563173263298,other,0,0,0,0.0
CD86,26.86,18.65,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.027027027027027,True,1.5708529013057202,approved,0,0,0,0.0
PIK3CB,26.43,23.03,3.0,14.0,3.0,11.0,3.0,13.0,0.3,0.3513513513513513,True,-0.2211340740775279,other,33,3,3,0.3333
ATR,36.05,89.15,4.0,28.0,4.0,18.0,4.0,17.0,0.4,0.4594594594594595,False,-0.1953766684633593,other,11,1,1,0.1111
P2RY12,0.0,96.27,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other,11,1,1,0.1111
GMPS,14.64,30.96,3.0,15.0,3.0,10.0,2.0,10.0,0.2,0.2702702702702703,False,-0.4164293904055157,other,22,2,2,0.2222
FGFR3,21.59,21.82,1.0,5.0,1.0,3.0,1.0,4.0,0.1,0.1081081081081081,False,-0.1026044852343513,other,11,1,1,0.1111
PDGFRA,4.42,134.3,2.0,14.0,2.0,9.0,2.0,10.0,0.2,0.2702702702702703,False,-0.4164293904055157,other,11,1,1,0.1111
KIT,21.29,137.44,3.0,27.0,3.0,16.0,3.0,13.0,0.3,0.3513513513513513,False,-0.2211340740775279,other,0,0,0,0.0
KDR,7.48,97.78,2.0,18.0,2.0,12.0,2.0,12.0,0.2,0.3243243243243243,False,-0.6708589965686595,other,0,0,0,0.0
PPAT,6.72,17.2,4.0,14.0,3.0,10.0,3.0,9.0,0.3,0.2432432432432432,False,0.2917444383566379,other,11,1,1,0.1111
GNRHR,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other,11,1,1,0.1111
CXCL8,10.92,133.41,3.0,32.0,2.0,17.0,2.0,18.0,0.2,0.4864864864864865,False,-1.2413651227036395,other,33,3,3,0.3333
CXCL10,5.29,21.93,1.0,4.0,1.0,4.0,1.0,3.0,0.1,0.081081081081081,False,0.2722802030843886,ongoing,0,0,0,0.0
HPSE,9.27,57.65,2.0,13.0,2.0,8.0,2.0,10.0,0.2,0.2702702702702703,False,-0.4164293904055157,other,11,1,1,0.1111
SPP1,137.09,6.6,12.0,6.0,8.0,5.0,6.0,8.0,0.6,0.2162162162162162,True,1.431106890641492,other,11,1,1,0.1111
ADH5,48.36,80.42,1.0,20.0,1.0,12.0,1.0,14.0,0.1,0.3783783783783784,False,-1.8199593621910897,other,22,2,2,0.2222
PPP3CA,141.59,11.37,12.0,16.0,8.0,10.0,6.0,11.0,0.6,0.2972972972972973,True,0.9891741642995882,other,33,3,3,0.3333
PDE5A,22.77,7.56,3.0,9.0,3.0,7.0,3.0,9.0,0.3,0.2432432432432432,True,0.2917444383566379,other,22,2,2,0.2222
FGF2,16.66,55.25,4.0,15.0,4.0,11.0,4.0,9.0,0.4,0.2432432432432432,False,0.6951001325878468,other,11,1,1,0.1111
IL15,31.5,27.81,5.0,13.0,5.0,10.0,5.0,11.0,0.5,0.2972972972972973,True,0.7308621687081974,other,0,0,0,0.0
EDNRA,0.0,3.7,0.0,9.0,0.0,5.0,0.0,6.0,0.0,0.1621621621621621,False,-4.105696196627351,other,0,0,0,0.0
NR3C2,19.75,18.02,2.0,9.0,2.0,6.0,2.0,8.0,0.2,0.2162162162162162,True,-0.1073130241426337,other,22,2,2,0.2222
TLR2,11.37,12.71,2.0,5.0,2.0,5.0,2.0,4.0,0.2,0.1081081081081081,False,0.8302813189071119,failed,11,1,1,0.1111
GRIA2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other,0,0,0,0.0
TLR3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other,33,3,3,0.3333
SLC6A3,0.0,7.65,0.0,5.0,0.0,4.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,other,0,0,0,0.0
OSMR,39.93,182.9,6.0,22.0,4.0,14.0,4.0,15.0,0.4,0.4054054054054054,False,-0.0188960794437378,ongoing,11,1,1,0.1111
PTGER4,14.13,27.15,4.0,24.0,4.0,13.0,4.0,14.0,0.4,0.3783783783783784,False,0.0781610237896969,other,0,0,0,0.0
GHR,57.7,0.0,4.0,10.0,4.0,7.0,3.0,8.0,0.3,0.2162162162162162,True,0.4545658634654811,other,11,1,1,0.1111
ITGA2,19.37,107.8,4.0,20.0,4.0,12.0,4.0,13.0,0.4,0.3513513513513513,False,0.1822216201536808,other,33,3,3,0.3333
IL31RA,6.13,59.84,2.0,16.0,2.0,8.0,2.0,8.0,0.2,0.2162162162162162,False,-0.1073130241426337,approved,0,0,0,0.0
