gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
CNR1,22.58,49.88,1,6,1,3,1,3,0.1,0.08108108108108109,False,0.27228020308438866,other
TRAF3IP2,7.8,151.92,3,26,3,18,3,17,0.3,0.4594594594594595,False,-0.5987323626945678,other
MARCKS,12.36,34.9,4,16,4,10,4,10,0.4,0.2702702702702703,False,0.5488051914338078,other
HDAC2,0.0,20.68,0,4,0,4,0,4,0.0,0.10810810810810811,False,-3.5620361038716486,other
FRK,12.26,21.27,2,12,2,10,2,11,0.2,0.2972972972972973,False,-0.5492457504845378,other
CCN2,30.84,103.65,3,30,3,15,3,17,0.3,0.4594594594594595,False,-0.5987323626945678,other
ESR1,0.0,18.72,0,2,0,2,0,2,0.0,0.05405405405405406,False,-2.679289883269309,other
PLG,0.0,0.0,0,0,0,0,0,0,0.0,0.0,False,0.0,other
AHR,0.0,67.78,0,26,0,15,0,13,0.0,0.35135135135135137,False,-5.175330384464403,other
IL6,3.51,56.98,2,14,2,10,2,7,0.2,0.1891891891891892,False,0.07624997931264035,other
GPNMB,0.0,4.01,0,3,0,3,0,3,0.0,0.08108108108108109,False,-3.1871514155529086,other
PPIA,17.44,7.85,5,13,5,12,5,16,0.5,0.43243243243243246,True,0.20504010112629173,other
EGFR,11.86,370.19,2,35,2,17,2,18,0.2,0.4864864864864865,False,-1.2413651227036395,other
CDK6,9.72,17.6,4,15,4,11,4,13,0.4,0.35135135135135137,False,0.1822216201536808,other
NAMPT,66.6,88.13,0,6,0,6,0,6,0.0,0.16216216216216217,False,-4.105696196627351,other
MET,22.4,124.2,1,16,1,10,1,11,0.1,0.2972972972972973,False,-1.4821315546260008,other
CFTR,0.0,0.0,1,5,1,4,1,6,0.1,0.16216216216216217,False,-0.6462645779900534,other
IMPDH1,22.26,39.69,2,16,2,10,2,13,0.2,0.35135135135135137,False,-0.7830129616856427,other
CHRM2,0.0,3.5,0,3,0,3,0,3,0.0,0.08108108108108109,False,-3.1871514155529086,other
BRAF,15.34,42.78,5,12,4,8,4,12,0.4,0.32432432432432434,False,0.29437558527066365,other
CDK5,20.19,115.98,5,27,5,17,5,18,0.5,0.4864864864864865,False,0.038742796489095795,other
LOXL2,13.09,2.82,1,5,1,4,1,4,0.1,0.10810810810810811,True,-0.10260448523435133,other
ADRA1A,7.35,0.0,1,1,1,1,1,2,0.1,0.05405405405405406,True,0.780141735367988,other
PTK2B,53.18,61.62,4,26,3,17,3,19,0.3,0.5135135135135135,False,-0.7559585625874288,other
EPHX2,12.61,0.0,4,5,4,5,3,8,0.3,0.21621621621621623,True,0.4545658634654811,other
