gene,disease,category,phase,mol_id,VDR_score,GR_score,VDR_dominant
CXCR1,Asthma,respiratory,2.0,CHEMBL2103864,4.96,0.0,True
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL551466,11.74,0.0,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL714,14.51,48.38,False
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1441059,14.51,48.38,False
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1951071,14.51,48.38,False
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1370,56.91,9.43,True
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1473,56.91,9.43,True
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1201027,11.74,0.0,True
CHRM1,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1201027,0.0,43.55,False
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1789842,14.51,48.38,False
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL2134724,11.74,0.0,True
HMGCR,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL503,23.51,34.51,False
PGR,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1201139,6.14,0.0,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL2105743,14.51,48.38,False
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1082607,14.51,48.38,False
HMGCR,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1064,23.51,34.51,False
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL3545181,11.74,0.0,True
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL523299,11.74,0.0,True
