gene,disease_id,disease,therapeutic_areas,score,status
PIK3CB,MONDO_0004975,Alzheimer disease,psychiatric disorder; nervous system disease; phenotype,0.48687824014181796,other
PIK3CB,MONDO_0005180,Parkinson disease,"nervous system disease; genetic, familial or congenital disease",0.4848696898989132,other
PIK3CB,MONDO_0005301,multiple sclerosis,nervous system disease; immune system disease,0.4641370066916689,other
SPP1,EFO_0003882,osteoporosis,"musculoskeletal or connective tissue disease; genetic, familial or congenital disease; phenotype",0.5729473764531288,other
SPP1,EFO_0004260,bone disease,musculoskeletal or connective tissue disease,0.5016948625779489,other
SPP1,EFO_0004214,Abdominal Aortic Aneurysm,cardiovascular disease,0.45156738793105944,other
SPP1,EFO_0004274,gout,nutritional or metabolic disease; musculoskeletal or connective tissue disease; phenotype,0.4451168710172555,other
SPP1,EFO_0009659,aneurysm,cardiovascular disease,0.3644760964357798,other
PPP3CA,MONDO_0020630,developmental and epileptic encephalopathy 91,"nervous system disease; genetic, familial or congenital disease",0.7846168061843352,other
PPP3CA,MONDO_0032642,"arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development","genetic, familial or congenital disease",0.7163983947248315,other
PPP3CA,EFO_0005761,lupus nephritis,immune system disease; urinary system disease; phenotype,0.5620209179610918,other
PPP3CA,EFO_1000643,infantile epileptic encephalopathy,nervous system disease,0.5030392466541774,other
PPP3CA,MONDO_0005148,type 2 diabetes mellitus,endocrine system disease; nutritional or metabolic disease; phenotype,0.4482727574704897,other
PDE5A,EFO_0001645,coronary artery disease,cardiovascular disease,0.6614560318797083,other
PDE5A,EFO_0004234,erectile dysfunction,reproductive system or breast disease,0.6124296894742537,other
PDE5A,EFO_0001361,pulmonary arterial hypertension,respiratory or thoracic disease; cardiovascular disease; phenotype,0.6090859265638557,other
PDE5A,EFO_0000284,benign prostatic hyperplasia,cancer or benign tumor; reproductive system or breast disease,0.6051500086740509,other
PDE5A,MONDO_0005149,pulmonary hypertension,cardiovascular disease; phenotype,0.5876457300784068,other
IL15,EFO_0009681,post term pregnancy,pregnancy or perinatal disease,0.30246427259274417,other
IL15,EFO_0005670,smoking initiation,biological_process,0.25586476742098463,other
IL15,EFO_0000274,atopic eczema,integumentary system disease; immune system disease,0.24334497625295384,other
IL15,EFO_0000538,hypertrophic cardiomyopathy,cardiovascular disease; musculoskeletal or connective tissue disease,0.23432422754028207,other
IL15,EFO_0007442,placenta praevia,pregnancy or perinatal disease; reproductive system or breast disease,0.2333954078038903,other
NR3C2,MONDO_0008329,autosomal dominant pseudohypoaldosteronism type 1,"genetic, familial or congenital disease; urinary system disease",0.7770463208251472,other
NR3C2,EFO_0000537,hypertension,cardiovascular disease; phenotype,0.7417700346809301,other
NR3C2,Orphanet_171871,Renal pseudohypoaldosteronism type 1,"urinary system disease; genetic, familial or congenital disease",0.7317082723946461,other
NR3C2,MONDO_0011517,pseudohyperaldosteronism type 2,"genetic, familial or congenital disease; pregnancy or perinatal disease",0.6760799996747106,other
NR3C2,EFO_0000612,myocardial infarction,cardiovascular disease,0.6018848669729151,other
GHR,MONDO_0009877,Laron syndrome,"endocrine system disease; genetic, familial or congenital disease",0.8304020079647765,other
GHR,MONDO_0011420,short stature due to partial GHR deficiency,endocrine system disease; reproductive system or breast disease; nervous system disease,0.7820922710772238,other
GHR,MONDO_0019499,Turner syndrome,"genetic, familial or congenital disease; endocrine system disease; reproductive system or breast disease; phenotype",0.6004081779045601,other
GHR,EFO_1001109,pituitary dwarfism,reproductive system or breast disease; endocrine system disease; nervous system disease,0.5978455869046508,other
GHR,EFO_1001485,acromegaly,"endocrine system disease; genetic, familial or congenital disease; phenotype; reproductive system or breast disease; nervous system disease",0.5875093889353835,other
TSLP,MONDO_0004979,asthma,phenotype; respiratory or thoracic disease,0.7162691222652415,approved
TSLP,EFO_1002029,chronic rhinosinusitis with nasal polyps,respiratory or thoracic disease; musculoskeletal or connective tissue disease,0.5615061591146803,approved
TSLP,EFO_0007486,sinusitis,respiratory or thoracic disease; musculoskeletal or connective tissue disease,0.54763706906843,approved
TSLP,EFO_1000391,Nasal Cavity Polyp,cancer or benign tumor; respiratory or thoracic disease,0.5200220602214115,approved
TSLP,EFO_0005854,allergic rhinitis,respiratory or thoracic disease; immune system disease,0.5058299134514114,approved
CD14,EFO_0005547,dengue disease,infectious disease,0.39219972762611355,other
CD14,MONDO_0003778,inborn error of immunity,immune system disease,0.3695798546847018,other
CD14,HP_0003418,Back pain,phenotype,0.18343312611861584,other
CD14,EFO_0004274,gout,nutritional or metabolic disease; musculoskeletal or connective tissue disease; phenotype,0.13799697366408098,other
CD14,HP_0100806,Sepsis,phenotype,0.13219447461935138,other
FGF1,MONDO_0004992,cancer,cancer or benign tumor,0.6088477966360052,other
FGF1,EFO_0005541,bone development disease,musculoskeletal or connective tissue disease,0.5958182061931233,other
FGF1,EFO_0009118,female reproductive endometrioid cancer,reproductive system or breast disease; cancer or benign tumor,0.5030392466541774,other
FGF1,HP_0000924,Abnormality of the skeletal system,phenotype,0.47042060576299166,other
FGF1,EFO_0001075,ovarian carcinoma,cancer or benign tumor; endocrine system disease; reproductive system or breast disease,0.46934524445542636,other
NR3C1,MONDO_0014421,glucocorticoid resistance,"endocrine system disease; nutritional or metabolic disease; genetic, familial or congenital disease",0.8081730501624982,other
NR3C1,EFO_0000341,chronic obstructive pulmonary disease,respiratory or thoracic disease,0.7036305106972573,other
NR3C1,MONDO_0005301,multiple sclerosis,nervous system disease; immune system disease,0.6840851692676138,other
NR3C1,MONDO_0004979,asthma,phenotype; respiratory or thoracic disease,0.6289620939159495,other
NR3C1,EFO_0000685,rheumatoid arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.6259309001962273,other
LTA,EFO_0003778,psoriatic arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.3761185917904896,other
LTA,EFO_0005772,neurodegenerative disease,nervous system disease,0.37079833893338304,other
LTA,EFO_0000685,rheumatoid arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.13131244542418516,other
LTA,EFO_1001951,colorectal carcinoma,gastrointestinal disease; cancer or benign tumor,0.10785962935461475,other
LTA,EFO_0000616,neoplasm,cancer or benign tumor,0.09965859533460629,other
TNF,EFO_0003778,psoriatic arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.708549577891046,approved
TNF,EFO_0000685,rheumatoid arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.6424639366506499,approved
TNF,EFO_0000676,psoriasis,"immune system disease; integumentary system disease; genetic, familial or congenital disease",0.6409581552308364,approved
TNF,EFO_0000729,ulcerative colitis,"gastrointestinal disease; immune system disease; genetic, familial or congenital disease",0.6391839908373439,approved
TNF,EFO_0003898,ankylosing spondylitis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.629752138248425,approved
VEGFA,EFO_0003770,diabetic retinopathy,nutritional or metabolic disease; nervous system disease; disorder of visual system; cardiovascular disease,0.7167382971353324,approved
VEGFA,EFO_0009321,diabetic macular edema,nutritional or metabolic disease; nervous system disease; disorder of visual system; cardiovascular disease,0.6293757082787665,approved
VEGFA,EFO_0003060,non-small cell lung carcinoma,respiratory or thoracic disease; cancer or benign tumor,0.6263195243545013,approved
VEGFA,EFO_0004683,wet macular degeneration,"nervous system disease; genetic, familial or congenital disease; disorder of visual system; phenotype",0.6242922292445254,approved
VEGFA,MONDO_0003005,macular retinal edema,nervous system disease; disorder of visual system; phenotype,0.6218398014068734,approved
PPIA,EFO_0000764,HIV infection,infectious disease; reproductive system or breast disease,0.6219943433906236,other
PPIA,EFO_0000676,psoriasis,"immune system disease; integumentary system disease; genetic, familial or congenital disease",0.5687552158451904,other
PPIA,MONDO_0013730,graft versus host disease,"immune system disease; injury, poisoning or other complication",0.5063933459670232,other
PPIA,EFO_0009449,keratitis,disorder of visual system; phenotype,0.4912742879467144,other
PPIA,EFO_0003966,eye disease,disorder of visual system,0.4684578649734713,other
LOXL2,EFO_0005772,neurodegenerative disease,nervous system disease,0.29388387076279526,other
LOXL2,EFO_0000701,skin disease,integumentary system disease,0.24224106235792697,other
LOXL2,EFO_0002496,actinic keratosis,cancer or benign tumor; integumentary system disease,0.1839015548984529,other
